TourId iBest gBest time(ms)
84 801.4565680776 721.5404168191 20
85 785.9118777960 721.5404168191 20
86 805.4260118519 721.5404168191 19
87 781.9450251999 721.5404168191 20
88 816.3079670093 721.5404168191 20
89 748.2748351377 721.5404168191 20
90 778.6192915242 721.5404168191 19
91 818.2437867809 721.5404168191 20
92 792.5759083915 721.5404168191 21
93 771.6053407999 721.5404168191 19
94 741.3389018911 721.5404168191 20
95 829.8396373969 721.5404168191 20
96 720.4954331449 720.4954331449 19
97 733.6925114224 720.4954331449 19
98 810.9321888959 720.4954331449 20
99 588.8423312951 588.8423312951 115
100 810.3530079630 588.8423312951 19
101 804.9930779644 588.8423312951 20
102 801.4547844922 588.8423312951 20
103 761.2433121238 588.8423312951 19
104 760.4494931921 588.8423312951 19
105 787.4250227443 588.8423312951 20
106 791.7290091149 588.8423312951 20
107 828.8235096105 588.8423312951 20
108 814.9495945063 588.8423312951 20
109 764.4895021279 588.8423312951 19
110 783.0759442640 588.8423312951 20
111 767.5799016913 588.8423312951 20
112 766.1050579476 588.8423312951 19
113 770.0186556296 588.8423312951 20
114 768.7712331639 588.8423312951 20
115 799.0591077230 588.8423312951 19
116 763.8401441134 588.8423312951 20
117 794.1488440456 588.8423312951 20
118 732.7641570692 588.8423312951 20
119 786.5371964894 588.8423312951 20
120 774.6377333298 588.8423312951 20
121 764.4133664154 588.8423312951 19
122 782.8933046088 588.8423312951 19
123 791.2014987637 588.8423312951 20
124 754.1081081900 588.8423312951 20
125 760.1206306182 588.8423312951 19
126 788.3112361689 588.8423312951 20
127 806.5121671594 588.8423312951 20
128 765.4571939512 588.8423312951 20
129 782.7116352591 588.8423312951 19
130 725.5624664003 588.8423312951 20
131 767.5375133265 588.8423312951 20
132 785.5234445786 588.8423312951 20
133 737.2876991838 588.8423312951 20
134 814.8343676588 588.8423312951 20
135 721.4486458955 588.8423312951 19
136 778.6243384059 588.8423312951 20
137 828.1902765313 588.8423312951 20
138 732.7956687875 588.8423312951 19
139 852.7981741368 588.8423312951 19
140 795.6799276440 588.8423312951 19
141 693.7407794811 588.8423312951 20
142 791.7028135214 588.8423312951 19
143 775.6344555630 588.8423312951 20
144 809.1741903187 588.8423312951 20
145 726.6384130855 588.8423312951 20
146 809.7980961451 588.8423312951 20
147 786.3419096892 588.8423312951 20
148 781.3819754539 588.8423312951 20
149 844.6651872406 588.8423312951 20
150 771.6632480497 588.8423312951 19
151 777.2513469372 588.8423312951 20
152 762.9281702397 588.8423312951 20
153 808.7798849261 588.8423312951 20
154 760.9848052511 588.8423312951 19
155 736.8272107719 588.8423312951 20
156 739.8373419282 588.8423312951 20
157 769.6854494665 588.8423312951 20
158 759.3147645182 588.8423312951 20
159 748.7646617944 588.8423312951 19
160 812.6380868801 588.8423312951 19
161 821.9759419963 588.8423312951 20
162 802.9135886882 588.8423312951 20
163 764.0129777256 588.8423312951 19
164 736.6941800796 588.8423312951 19
165 678.5115230968 588.8423312951 20
166 769.3656878653 588.8423312951 20
167 763.0795486923 588.8423312951 20
